user_id_str,info,whether_active,user_screen_name
5654472.0,F,no,Not found
94245683.0,M,no,Not found
518389533.0,M,no,Not found
4111464136.0,F,no,Not found
155809091.0,F,no,Not found
138605435.0,F,no,Not found
302051431.0,M,no,Not found
2706101936.0,M,no,Not found
2663928969.0,F,no,Not found
1655530248.0,M,no,Not found
25151772.0,M,no,Not found
62872680.0,M,no,Not found
735237505.0,F,no,Not found
4380411.0,F,no,Not found
29684260.0,F,no,Not found
277408746.0,M,no,Not found
76047938.0,M,no,Not found
2911144645.0,M,no,Not found
1170556975.0,M,no,Not found
284075387.0,M,no,Not found
14454583.0,F,no,Not found
158632671.0,M,no,Not found
437669623.0,M,no,Not found
102688383.0,M,no,Not found
214587100.0,M,no,Not found
7.18e+17,M,,Not found
1231247078.0,F,no,Not found
578426523.0,F,no,Not found
588605404.0,M,no,Not found
38640756.0,F,no,Not found
40713544.0,F,no,Not found
599445692.0,M,no,Not found
15519893.0,M,no,Not found
236301546.0,F,no,Not found
7.42e+17,F,,Not found
4442301695.0,F,no,Not found
1196145949.0,M,no,Not found
255946292.0,M,no,Not found
33686448.0,F,no,Not found
193060294.0,M,no,Not found
1379501556.0,F,no,Not found
133856231.0,F,no,Not found
132216274.0,M,no,Not found
197598528.0,M,no,Not found
14735760.0,M,no,Not found
71302070.0,F,yes,arifkhan7
1603957266.0,M,no,Not found
7.92e+17,M,,Not found
7e+17,M,,Not found
238576433.0,F,no,Not found
20973783.0,M,no,Not found
55165270.0,M,no,Not found
278516937.0,M,no,Not found
19563380.0,F,no,Not found
374735949.0,M,no,Not found
1112166661.0,F,no,Not found
356677104.0,M,no,Not found
255935729.0,M,no,Not found
2698629504.0,M,yes,SarthakMaiti
6295782.0,M,no,Not found
7.88e+17,M,,Not found
7.21e+17,F,,Not found
2900142090.0,M,no,Not found
1056873374.0,F,no,Not found
2460952989.0,M,no,Not found
45750321.0,M,no,Not found
7.37e+17,F,,Not found
7.71e+17,F,,Not found
54751476.0,F,no,Not found
79266671.0,F,no,Not found
1255519657.0,M,no,Not found
20070088.0,M,no,Not found
228025464.0,F,no,Not found
522477612.0,M,no,Not found
196651500.0,M,no,Not found
4366491613.0,F,no,Not found
3378924153.0,M,no,Not found
106795900.0,M,no,Not found
1640461520.0,M,no,Not found
7.68e+17,F,,Not found
1347081.0,M,no,Not found
2213419554.0,F,no,Not found
2995578334.0,M,no,Not found
